code_site;adresse;operateur;mise_en_serv;mise_en_serv_4g;mise_en_serv_5g_3500;mise_en_serv_5g_700;type;ardt;geo_shape;geo_point_2d
75101_015_03;3, rue de la Banque;FREE MOBILE;2019-04-23T04:00:00+02:00;2019-04-25T04:00:00+02:00;;2021-09-21T04:00:00+02:00;MACRO;75002;"{""coordinates"": [2.339996883038535, 48.86639970965771], ""type"": ""Point""}";48.86639970965771,2.339996883038535
75102_019_16;5_ETIENNE_MARCEL;FREE MOBILE;2019-07-16T04:00:00+02:00;2019-08-16T04:00:00+02:00;;;MACRO;75001;"{""coordinates"": [2.350246500451913, 48.863466000247186], ""type"": ""Point""}";48.863466000247186,2.350246500451913
75106_007_03;205 BOULEVARD RASPAIL;FREE MOBILE;2013-03-22T02:00:00+01:00;2020-12-28T02:00:00+01:00;;;MACRO;75014;"{""coordinates"": [2.330090999818673, 48.841407000065075], ""type"": ""Point""}";48.841407000065075,2.330090999818673
75107_006_11;23 avenue Duquesne;FREE MOBILE;2018-12-24T02:00:00+01:00;2018-12-10T02:00:00+01:00;;;MACRO;75007;"{""coordinates"": [2.309013000565657, 48.85264799987858], ""type"": ""Point""}";48.85264799987858,2.309013000565657
75107_009_14;17 boulevard Raspail;FREE MOBILE;2017-09-07T04:00:00+02:00;2017-09-07T04:00:00+02:00;;;MACRO;75007;"{""coordinates"": [2.326329000303841, 48.85404300001973], ""type"": ""Point""}";48.85404300001973,2.326329000303841
75108_053_09;55 rue de Ponthieu;FREE MOBILE;2019-05-31T04:00:00+02:00;2019-05-31T04:00:00+02:00;2022-01-04T02:00:00+01:00;2021-03-19T02:00:00+01:00;MACRO;75008;"{""coordinates"": [2.305637999635199, 48.87188099992661], ""type"": ""Point""}";48.87188099992661,2.305637999635199
75108_073_01;33 rue de Liège 75008 Paris;FREE MOBILE;2020-11-04T02:00:00+01:00;2020-11-04T02:00:00+01:00;2021-03-19T02:00:00+01:00;2021-03-19T02:00:00+01:00;MACRO;75008;"{""coordinates"": [2.32580249946687, 48.87935999956017], ""type"": ""Point""}";48.87935999956017,2.32580249946687
75109_005_06;37 RUE DE BELLEFOND;FREE MOBILE;2013-06-12T04:00:00+02:00;2014-07-21T04:00:00+02:00;;;MACRO;75009;"{""coordinates"": [2.345706000097977, 48.8781089999677], ""type"": ""Point""}";48.8781089999677,2.345706000097977
75109_002_03;51 RUE SAINT GEORGES;FREE MOBILE;2012-10-30T02:00:00+01:00;2013-12-19T02:00:00+01:00;;2021-05-25T04:00:00+02:00;MACRO;75009;"{""coordinates"": [2.33739265688819, 48.87815326218376], ""type"": ""Point""}";48.87815326218376,2.33739265688819
75109_014_01;20 rue La Fayette;FREE MOBILE;2017-06-20T04:00:00+02:00;2017-06-20T04:00:00+02:00;;;MACRO;75009;"{""coordinates"": [2.3359949998147203, 48.8736900002213], ""type"": ""Point""}";48.8736900002213,2.3359949998147203
75109_030_05;34 Boulevard des Italiens;FREE MOBILE;2019-06-18T04:00:00+02:00;2019-06-19T04:00:00+02:00;;2021-05-14T04:00:00+02:00;MACRO;75009;"{""coordinates"": [2.335112999712747, 48.87130499963847], ""type"": ""Point""}";48.87130499963847,2.335112999712747
75110_048_01;251 rue du Faubourg Saint-Martin;FREE MOBILE;2019-06-10T04:00:00+02:00;2019-06-12T04:00:00+02:00;;2021-05-25T04:00:00+02:00;MACRO;75010;"{""coordinates"": [2.36724299931391, 48.882978000384185], ""type"": ""Point""}";48.882978000384185,2.36724299931391
75111_010_03;57 RUE DE MONTREUIL;FREE MOBILE;2014-12-10T02:00:00+01:00;2014-12-10T02:00:00+01:00;;;MACRO;75011;"{""coordinates"": [2.389499386030362, 48.85055930687759], ""type"": ""Point""}";48.85055930687759,2.389499386030362
75112_020_02;8_DUBOIS_75013;FREE MOBILE;2014-01-07T02:00:00+01:00;2014-01-07T02:00:00+01:00;;;MACRO;75012;"{""coordinates"": [2.406271499880935, 48.83414399991185], ""type"": ""Point""}";48.83414399991185,2.406271499880935
75116_005_01;1 PLACE DU MARECHAL DE LATTRE DE TASSIGNY;FREE MOBILE;2012-06-27T04:00:00+02:00;2013-09-30T04:00:00+02:00;;2021-03-19T02:00:00+01:00;MACRO;75016;"{""coordinates"": [2.274870507966225, 48.87245433843834], ""type"": ""Point""}";48.87245433843834,2.274870507966225
75116_106_01;14 rue Félicien David;FREE MOBILE;2018-05-11T04:00:00+02:00;2018-05-11T04:00:00+02:00;;;MACRO;75016;"{""coordinates"": [2.274983999439457, 48.85032599959873], ""type"": ""Point""}";48.85032599959873,2.274983999439457
75117_001_01;8 RUE EPINETTES;FREE MOBILE;2012-06-25T04:00:00+02:00;2013-11-20T02:00:00+01:00;;2021-03-19T02:00:00+01:00;MACRO;75017;"{""coordinates"": [2.321880967628295, 48.894362618412714], ""type"": ""Point""}";48.894362618412714,2.321880967628295
75117_038_01;85 RUE AMPERE;FREE MOBILE;2015-01-21T02:00:00+01:00;2016-10-17T04:00:00+02:00;;;MACRO;75017;"{""coordinates"": [2.299225093084551, 48.88522786581688], ""type"": ""Point""}";48.88522786581688,2.299225093084551
75118_002_03;2 RUE RAYMOND QUENEAU;FREE MOBILE;2015-04-13T04:00:00+02:00;2015-04-13T04:00:00+02:00;;;MACRO;75018;"{""coordinates"": [2.361990549011856, 48.895438022181246], ""type"": ""Point""}";48.895438022181246,2.361990549011856
75118_019_05;51 RUE LETORT;FREE MOBILE;2014-05-12T04:00:00+02:00;2014-06-19T04:00:00+02:00;;;MACRO;75018;"{""coordinates"": [2.343636000240522, 48.89657699976129], ""type"": ""Point""}";48.89657699976129,2.343636000240522
75118_032_02;28 RUE ORSEL;FREE MOBILE;2014-02-27T02:00:00+01:00;2014-02-27T02:00:00+01:00;;;MACRO;75018;"{""coordinates"": [2.34369379659496, 48.88382621854142], ""type"": ""Point""}";48.88382621854142,2.34369379659496
75118_042_01;13 rue des Abbesses;FREE MOBILE;2016-09-22T04:00:00+02:00;2016-10-04T04:00:00+02:00;;;MACRO;75018;"{""coordinates"": [2.338568902760787, 48.884072682966206], ""type"": ""Point""}";48.884072682966206,2.338568902760787
75118_066_02;10 rue Feutrier;FREE MOBILE;2019-04-23T04:00:00+02:00;2019-04-11T04:00:00+02:00;;;MACRO;75018;"{""coordinates"": [2.34664650012891, 48.88633499982343], ""type"": ""Point""}";48.88633499982343,2.34664650012891
75112_071_02;100 quai de la Râpée;FREE MOBILE;2021-08-13T04:00:00+02:00;2021-08-13T04:00:00+02:00;2021-08-17T04:00:00+02:00;2021-08-17T04:00:00+02:00;MACRO;75012;"{""coordinates"": [2.367252000576414, 48.846276000083215], ""type"": ""Point""}";48.846276000083215,2.367252000576414
T15749;15  rue  CHAPON;BOUYGUES;2001-01-08T02:00:00+01:00;;;;MACRO;75003;"{""coordinates"": [2.356281000623767, 48.863285999777695], ""type"": ""Point""}";48.863285999777695,2.356281000623767
T15256;59  rue  DE BRETAGNE;BOUYGUES;2015-09-30T04:00:00+02:00;;;;MACRO;75003;"{""coordinates"": [2.360475000142594, 48.86398799996754], ""type"": ""Point""}";48.86398799996754,2.360475000142594
T10557;23  rue  SERVANDONI;BOUYGUES;2003-10-15T04:00:00+02:00;;;;MACRO;75006;"{""coordinates"": [2.334852000209385, 48.849390000318685], ""type"": ""Point""}";48.849390000318685,2.334852000209385
T10666;38  rue  DE DUNKERQUE;BOUYGUES;2001-01-08T02:00:00+01:00;;;;MACRO;75009;"{""coordinates"": [2.349611999813045, 48.88122300039898], ""type"": ""Point""}";48.88122300039898,2.349611999813045
T10676;41  boulevard  DE STRASBOURG;BOUYGUES;1999-09-08T04:00:00+02:00;;;;MACRO;75010;"{""coordinates"": [2.355479404601478, 48.87191367822456], ""type"": ""Point""}";48.87191367822456,2.355479404601478
